Episodes,B2,S3,B3,B1,S2,S1,episode_len
9,10.01388888888889,10.708333333333334,9.61111111111111,9.465277777777779,10.104166666666666,10.097222222222221,3.4444444444444446
18,9.5625,10.17013888888889,10.277777777777779,10.847222222222221,10.270833333333334,8.871527777777779,3.5555555555555554
42,10.433035714285714,10.013392857142858,10.407738095238095,10.171130952380953,9.800595238095237,9.174107142857142,3.880952380952381
96,10.003255208333334,10.123046875,10.345052083333334,9.832682291666666,9.697265625,9.998697916666666,3.8541666666666665
126,9.636875,10.09375,10.32625,9.675,9.609375,10.65875,4.07
175,9.3525,10.75875,9.61375,9.298125,9.94625,11.030625,4.37
225,9.955,10.138125,10.38125,9.615,10.265,9.645625,4.44
239,10.12375,10.12,10.13875,9.55375,10.46125,9.6025,4.47
248,10.25625,9.81125,10.298125,9.751875,10.23375,9.64875,4.16
258,9.964375,9.71125,10.20375,10.144375,10.231875,9.744375,4.13
272,10.314375,9.494375,10.431875,10.37125,9.981875,9.40625,4.03
278,10.469375,9.3525,10.425625,10.460625,10.14,9.151875,4.08
287,10.5875,9.015625,10.584375,10.649375,9.928125,9.235,4.1
296,10.61125,8.97125,10.3,10.72625,10.05,9.34125,4.12
308,10.283125,9.240625,9.98625,10.6925,9.964375,9.833125,4.11
320,10.24,9.31375,10.295,10.8975,9.538125,9.715625,3.91
330,10.263125,9.324375,10.55125,10.75125,9.560625,9.549375,3.92
341,10.083125,9.465625,10.5625,10.825,9.4275,9.63625,3.81
351,10.225,9.376875,10.83,10.525625,9.4425,9.6,3.87
362,10.2275,9.571875,10.915625,10.171875,9.589375,9.52375,3.93
370,10.275,9.6225,10.795625,10.048125,9.80375,9.455,4.01
383,9.84625,9.959375,10.885,9.9175,9.778125,9.61375,3.75
394,9.90875,9.866875,10.699375,10.115,9.789375,9.620625,3.69
403,10.30125,9.5675,10.8025,10.214375,9.6375,9.476875,3.72
412,10.48125,9.628125,10.7975,10.260625,9.42125,9.41125,3.76
422,10.338125,9.75,10.605,10.2825,9.5625,9.461875,3.84
431,10.446875,9.586875,10.698125,10.360625,9.378125,9.529375,3.88
438,10.6175,9.518125,10.713125,10.32875,9.38375,9.43875,4.13
448,10.569375,9.433125,10.685625,10.301875,9.463125,9.546875,4.12
458,10.45625,9.39625,10.49,10.60875,9.331875,9.716875,4.09
470,10.368125,9.454375,10.51375,10.6125,9.275,9.77625,4.06
478,10.4325,9.395,10.218125,10.713125,9.414375,9.826875,4.22
485,10.530625,9.49,10.15875,10.69875,9.340625,9.78125,4.39
494,10.155625,9.929375,10.004375,10.38625,9.535625,9.98875,4.42
504,9.835,10.254375,9.845,10.283125,9.674375,10.108125,4.33
510,9.738125,10.0875,9.96625,10.4125,9.6825,10.113125,4.53
515,9.788125,10.054375,9.99,10.491875,9.641875,10.03375,4.66
523,10.1325,10.019375,9.97125,10.468125,9.529375,9.879375,4.75
531,9.9525,10.055625,10.034375,10.359375,9.785625,9.8125,4.83
540,9.815625,10.003125,10.11375,10.504375,9.78625,9.776875,4.73
547,9.73625,10.245625,10.058125,10.481875,9.7075,9.770625,4.88
557,9.920625,10.089375,10.10875,10.515,9.886875,9.479375,4.87
568,9.780625,10.123125,10.104375,10.53875,9.763125,9.69,4.96
575,9.744375,10.183125,10.160625,10.3475,9.778125,9.78625,4.99
586,9.731875,9.975,10.26875,10.296875,9.8025,9.925,4.8
593,10.101875,9.808125,10.271875,10.46,9.4775,9.880625,4.9
602,10.38,9.54875,10.46375,10.5075,9.25375,9.84625,4.98
610,10.538125,9.65625,10.18625,10.275625,9.371875,9.971875,4.93
617,10.501875,9.5775,10.17625,10.129375,9.46875,10.14625,4.7
627,10.373125,9.78875,10.179375,9.94375,9.5075,10.2075,4.71
636,10.499375,9.71875,10.23125,9.820625,9.475,10.255,4.6
640,10.540625,9.74875,10.1725,9.860625,9.483125,10.194375,4.85
646,10.551875,9.6725,10.223125,9.79375,9.620625,10.138125,4.93
651,10.584375,9.65125,10.320625,9.81875,9.5775,10.0475,5.13
659,10.58875,9.474375,10.485,9.746875,9.510625,10.194375,5.22
666,10.583125,9.61875,10.295,9.42875,9.6925,10.381875,5.3
677,10.721875,9.71375,10.4875,9.378125,9.350625,10.348125,5.23
685,10.69125,9.84375,10.5325,9.246875,9.485625,10.2,5.31
691,10.721875,9.88625,10.61875,9.01625,9.5175,10.239375,5.4
697,10.650625,9.99875,10.57625,8.93,9.6975,10.146875,5.51
704,10.4225,10.15875,10.50625,8.95875,9.8825,10.07125,5.68
714,10.014375,10.28,10.638125,9.27875,9.759375,10.029375,5.45
720,10.149375,10.2025,10.64375,9.391875,9.720625,9.891875,5.59
729,10.300625,9.90375,10.775625,9.74125,9.633125,9.645625,5.66
737,10.021875,9.845,10.776875,9.65,9.833125,9.873125,5.67
743,10.01125,9.801875,10.716875,9.755625,9.89875,9.815625,5.62
750,10.105625,9.7625,10.535,9.695,9.994375,9.9075,5.42
757,10.248125,9.764375,10.325,9.82125,9.861875,9.979375,5.39
762,10.283125,9.699375,10.486875,10.086875,9.576875,9.866875,5.64
768,10.488125,9.6225,10.53,10.3175,9.49625,9.545625,5.8
775,10.451875,9.501875,10.5375,10.47375,9.570625,9.464375,5.82
783,10.546875,9.370625,10.518125,10.61375,9.42625,9.524375,5.88
789,10.41875,9.39625,10.604375,10.936875,9.276875,9.366875,5.95
800,10.336875,9.58375,10.320625,11.114375,9.14375,9.500625,5.71
810,10.560625,9.190625,10.463125,11.003125,9.205625,9.576875,5.59
818,10.666875,9.221875,10.573125,10.910625,9.235625,9.391875,5.52
825,10.7125,9.338125,10.57375,10.675625,9.155,9.545,5.56
834,10.87,9.284375,10.714375,10.81125,8.97625,9.34375,5.55
842,10.7825,9.399375,10.7375,10.633125,9.03875,9.40875,5.38
850,10.675625,9.384375,10.904375,10.49,9.001875,9.54375,5.36
857,10.48125,9.515,10.95875,10.450625,9.12625,9.468125,5.36
865,10.561875,9.424375,11.0325,10.29375,9.305625,9.381875,5.03
871,10.659375,9.344375,11.03375,10.190625,9.493125,9.27875,5.02
880,10.82375,9.501875,10.905,10.096875,9.399375,9.273125,4.99
886,10.7525,9.475,10.998125,9.92875,9.42875,9.416875,4.9
893,10.814375,9.3,11.115,9.724375,9.64625,9.4,5.03
899,11.105625,9.18625,11.189375,9.868125,9.5225,9.128125,5.15
904,11.056875,9.286875,11.023125,9.610625,9.84,9.1825,5.42
911,11.285625,9.326875,11.198125,9.668125,9.61625,8.905,5.56
920,11.24875,9.684375,11.0225,9.63875,9.55125,8.854375,5.55
927,11.12875,9.75,10.960625,9.856875,9.449375,8.854375,5.47
934,10.894375,9.8975,10.641875,9.690625,9.571875,9.30375,5.64
939,11.049375,9.69875,10.798125,9.543125,9.6075,9.303125,5.79
945,10.96375,9.703125,10.71,9.773125,9.584375,9.265625,5.86
951,11.135,9.51375,10.991875,9.874375,9.306875,9.178125,6.05
956,11.07625,9.556875,10.839375,9.861875,9.355,9.310625,6.1
963,11.015625,9.576875,10.7475,9.911875,9.371875,9.37625,6.14
967,10.91,9.71625,10.873125,9.8325,9.27,9.398125,6.33
973,10.509375,9.73375,10.87875,9.959375,9.530625,9.388125,6.4
978,10.20875,9.66875,10.876875,9.875625,9.753125,9.616875,6.59
984,10.28375,9.5875,10.9075,9.82,9.730625,9.670625,6.63
988,10.464375,9.559375,10.945625,9.94875,9.589375,9.4925,6.86
993,10.3225,9.688125,10.903125,9.72125,9.556875,9.808125,6.93
999,10.06125,9.64625,10.94875,9.836875,9.60625,9.900625,7.0
1004,9.98625,9.71625,10.886875,10.1,9.224375,10.08625,6.98
1009,9.63125,9.825,10.98125,10.01375,9.284375,10.264375,7.12
1015,9.5475,9.603125,10.835625,10.0225,9.4525,10.53875,7.21
1019,9.4575,9.61125,10.85,9.8375,9.595625,10.648125,7.28
1024,9.47,9.57875,10.69125,9.698125,9.726875,10.835,7.44
1028,9.38,9.60875,10.625625,9.825,9.7825,10.778125,7.66
1032,9.31125,9.444375,10.65125,9.915,9.811875,10.86625,7.75
1038,9.330625,9.45,10.699375,10.18125,9.655625,10.683125,7.71
1043,9.513125,9.48,10.689375,10.15375,9.68625,10.4775,7.8
1047,9.64875,9.428125,10.779375,10.373125,9.57,10.200625,7.99
1054,9.586875,9.6425,10.76125,10.545625,9.56125,9.9025,7.88
1058,9.52125,9.665,10.760625,10.425625,9.6375,9.99,8.04
1062,9.593125,9.625625,10.630625,10.455625,9.644375,10.050625,8.23
1066,9.625625,9.86375,10.52875,10.29375,9.613125,10.075,8.23
1071,9.81,9.888125,10.43625,10.13125,9.45375,10.280625,8.48
1076,10.165,9.803125,10.303125,10.104375,9.421875,10.2025,8.21
1078,10.174375,9.740625,10.4,10.261875,9.28,10.143125,8.42
1082,10.0525,9.906875,10.355625,10.391875,9.228125,10.065,8.56
1085,9.92125,9.85875,10.643125,10.39,9.210625,9.97625,8.75
1089,9.593125,9.96125,10.566875,10.35,9.461875,10.066875,8.76
1093,9.534375,10.045625,10.478125,10.3175,9.588125,10.03625,8.85
1099,9.4675,10.306875,10.3525,10.08375,9.60375,10.185625,8.78
1104,9.573125,10.16375,10.42875,9.85375,9.8425,10.138125,8.68
1108,9.661875,10.01,10.323125,10.08,9.7925,10.1325,8.88
1111,9.735625,9.84875,10.49625,10.119375,9.829375,9.970625,9.09
1116,9.8975,9.933125,10.28875,10.055,9.8075,10.018125,9.18
1121,10.079375,9.67125,10.545,10.178125,9.58125,9.945,9.28
1124,10.116875,9.78375,10.46,10.16375,9.556875,9.91875,9.22
1127,10.29625,9.579375,10.448125,9.99375,9.559375,9.923125,9.41
1130,10.37,9.56125,10.390625,10.00125,9.66125,9.815625,9.48
1133,10.50125,9.771875,10.411875,9.8275,9.495,9.7925,9.5
1140,10.34625,9.829375,10.551875,9.771875,9.55375,9.746875,9.48
1145,10.405625,9.94,10.299375,9.66875,9.52125,9.965,9.5
1147,10.37,10.113125,10.25375,9.595,9.466875,10.00125,9.51
1152,10.48375,9.905,10.169375,9.691875,9.228125,10.321875,9.89
1156,10.476875,9.863125,10.078125,9.524375,9.38875,10.46875,9.94
1160,10.53375,9.981875,10.251875,9.568125,9.17875,10.285625,9.92
1164,10.6375,9.875625,10.11375,9.55,9.1125,10.510625,9.76
1167,10.734375,9.7775,10.035,9.705625,9.096875,10.450625,9.83
1172,10.69625,9.58875,10.451875,9.696875,8.8825,10.48375,9.98
1173,10.744375,9.553125,10.52125,9.626875,8.94,10.414375,10.19
1178,10.7425,9.704375,10.625625,9.858125,8.69625,10.173125,10.31
1182,11.04125,9.656875,10.746875,9.5925,8.69125,10.07125,10.23
1185,11.10875,9.578125,10.4075,9.56,8.7975,10.348125,10.26
1189,11.43,9.335625,10.6475,9.71,8.500625,10.17625,10.25
1193,11.405625,9.4075,10.6475,9.70375,8.41375,10.221875,10.24
1195,11.480625,9.225625,10.66,9.733125,8.49875,10.201875,10.45
1200,11.725,9.033125,10.833125,9.938125,8.128125,10.1425,10.58
1204,11.56875,9.07875,10.816875,9.98,8.284375,10.07125,10.79
1208,11.735625,8.97,10.82375,9.9975,8.200625,10.0725,10.74
1213,11.893125,8.7525,10.76875,10.233125,8.01875,10.13375,10.55
1216,11.865,8.709375,10.981875,10.306875,7.995625,9.94125,10.62
1218,11.870625,8.830625,10.97,10.3025,7.99,9.83625,10.86
1221,11.754375,9.096875,10.75,10.091875,8.126875,9.98,10.83
1223,11.845,9.00625,10.766875,10.159375,8.0775,9.945,10.85
1228,11.76875,9.001875,10.759375,10.163125,8.165625,9.94125,10.78
1231,11.8325,9.095625,10.860625,10.105,7.90625,10.0,10.87
1232,11.699375,8.999375,10.96875,10.07875,8.03125,10.0225,10.99
1235,11.68125,8.84125,11.016875,10.065,8.0675,9.928125,11.27
1239,11.636875,8.868125,10.7225,9.9925,8.173125,10.206875,11.56
1241,11.723125,8.8325,10.68875,10.02125,8.044375,10.29,11.59
1245,11.655625,8.793125,10.76125,10.08625,7.94625,10.3575,11.78
1248,11.669375,8.764375,10.7625,10.065,7.986875,10.351875,11.72
1251,11.72125,8.72,10.7525,9.879375,8.14,10.386875,11.92
1253,11.57375,8.715625,10.808125,9.921875,8.02875,10.351875,12.13
1255,11.45,8.799375,10.92375,9.955,7.913125,10.35875,12.3
1257,11.6,8.696875,10.845625,9.959375,7.97,10.328125,12.42
1259,11.63625,8.57875,10.835625,9.7825,7.946875,10.42,12.68
1262,11.825625,8.545,10.8525,9.59375,7.875625,10.5075,12.91
1264,11.75125,8.440625,10.938125,9.624375,7.96125,10.484375,13.06
1267,11.599375,8.54375,11.05625,9.36,8.103125,10.5375,13.13
1270,11.493125,8.5025,11.025,9.2475,8.28125,10.650625,13.18
1273,11.44625,8.58875,10.72875,9.37375,8.326875,10.735625,13.2
1275,11.41125,8.420625,10.625,9.358125,8.4875,10.6975,13.32
1278,11.359375,8.616875,10.484375,9.110625,8.730625,10.698125,13.44
1280,11.214375,8.744375,10.26625,9.17125,8.786875,10.816875,13.68
1283,11.078125,8.926875,10.261875,9.13,8.6975,10.905625,13.84
1284,11.065625,8.940625,10.290625,9.13625,8.69125,10.875625,13.77
1287,11.274375,8.7875,10.345,9.123125,8.551875,10.718125,14.15
1289,11.24625,8.763125,10.1625,8.8925,8.61625,10.919375,14.39
1291,11.46375,8.615625,10.119375,9.059375,8.5425,10.799375,14.7
1293,11.51375,8.566875,10.099375,8.971875,8.503125,10.745,14.81
1296,11.573125,8.669375,9.920625,8.94375,8.465,10.828125,14.77
1298,11.411875,8.79875,9.926875,8.909375,8.498125,10.855,14.89
1302,11.194375,8.866875,9.883125,8.951875,8.356875,10.946875,15.16
1303,11.280625,8.855625,9.803125,8.871875,8.270625,10.918125,15.36
1305,11.063125,8.8825,9.869375,8.845,8.403125,10.736875,15.56
1307,10.9475,8.95625,9.88625,8.69625,8.540625,10.773125,15.85
1308,10.939375,8.9325,9.720625,8.72,8.435625,10.851875,15.97
1310,10.86125,9.060625,9.71625,8.58875,8.254375,10.91875,16.24
1311,10.699375,9.029375,9.72125,8.473125,8.363125,10.91375,16.5
1315,10.431875,9.140625,9.82125,8.310625,8.29,11.205625,16.55
1317,10.353125,9.298125,9.719375,8.269375,8.301875,11.258125,16.6
1319,10.2475,9.0925,9.796875,8.4275,8.43625,11.199375,16.66
1321,10.234375,8.919375,9.8,8.4525,8.39625,11.1975,16.94
1325,10.1325,8.975625,9.950625,8.351875,8.561875,11.0275,16.91
1327,10.02125,9.186875,9.806875,8.3125,8.465,11.0075,17.17
1329,9.8125,9.315,9.621875,8.360625,8.51625,10.97375,17.36
1331,9.665625,9.2825,9.865,8.3875,8.3925,11.006875,17.3
1333,9.78625,9.4025,9.648125,8.423125,8.28,11.06,17.39
1335,9.866875,9.4375,9.54625,8.54125,8.26875,10.939375,17.5
1336,9.7275,9.42625,9.65875,8.5875,8.2225,10.7775,17.63
1338,9.7375,9.5275,9.703125,8.44125,8.028125,10.7625,17.86
1340,9.8,9.5225,9.578125,8.335,8.179375,10.785,18.17
1342,9.610625,9.531875,9.6475,8.31125,8.234375,10.864375,18.1
1343,9.595625,9.364375,9.693125,8.233125,8.249375,10.864375,18.37
1345,9.489375,9.52,9.496875,8.105,8.3075,10.88125,18.69
1346,9.51625,9.385,9.47625,8.246875,8.27375,10.901875,18.76
1348,9.285,9.474375,9.428125,8.019375,8.448125,10.945,19.04
1350,9.281875,9.435,9.308125,7.94,8.5275,10.9075,19.21
1351,9.29375,9.365625,9.394375,7.895,8.455,10.79625,19.46
1353,9.3325,9.46875,9.15625,7.776875,8.651875,10.81375,19.64
1354,9.38375,9.345625,9.1425,7.691875,8.70625,10.73,19.7
1355,9.344375,9.185,9.040625,7.733125,8.608125,10.68875,19.88
1356,9.24375,9.0175,8.99375,7.733125,8.67625,10.735625,20.01
1358,8.96125,8.915,8.95375,7.766875,8.8425,10.760625,20.19
1359,8.966875,8.909375,8.874375,7.718125,8.89125,10.84,20.27
1360,8.809375,8.866875,8.740625,7.66625,8.825,10.691875,20.29
1362,8.62125,8.890625,8.841875,7.62125,8.64,10.385,20.63
1363,8.63625,8.796875,8.78875,7.566875,8.633125,10.378125,20.72
1365,8.569375,8.66375,8.454375,7.6125,8.6225,10.0775,20.98
1366,8.69875,8.501875,8.41625,7.5675,8.505625,9.91,21.23
1367,8.69875,8.458125,8.26,7.551875,8.381875,9.849375,21.45
1369,8.6125,8.491875,7.96625,7.585,8.10625,9.838125,21.65
1370,8.46625,8.4575,7.800625,7.525,7.96625,9.784375,21.89
1371,8.401875,8.36,7.77375,7.4225,7.793125,9.64875,21.97
1372,8.39625,8.20375,7.709375,7.37875,7.79875,9.513125,22.01
1374,8.14625,8.121875,7.613125,7.060625,7.618125,9.44,22.45
1375,8.006875,8.06125,7.524375,7.060625,7.506875,9.44,22.45
1376,7.95375,7.8825,7.51375,7.039375,7.4875,9.323125,22.57
1378,7.68625,7.819375,7.629375,6.795625,7.248125,9.22125,22.95
1379,7.546875,7.809375,7.583125,6.6875,7.2125,9.160625,23.04
1380,7.514375,7.641875,7.524375,6.650625,7.249375,9.019375,23.07
1382,7.205,7.55875,7.373125,6.56625,7.280625,8.81625,23.38
1383,7.196875,7.4175,7.314375,6.41125,7.385,8.675,23.45
1384,7.27875,7.269375,7.22,6.3325,7.33,8.569375,23.67
1386,6.958125,7.2325,6.93875,6.248125,7.41125,8.41125,23.81
1387,6.824375,7.07875,6.900625,6.201875,7.345,8.249375,23.96
1388,6.735625,7.228125,6.856875,6.201875,7.284375,8.093125,23.96
1389,6.746875,7.215625,6.929375,6.266875,7.22625,8.015,24.11
1391,6.4425,7.143125,6.895,6.001875,7.14625,7.97125,24.27
1392,6.280625,7.000625,6.8375,5.96,6.988125,7.933125,24.5
1393,6.2275,6.85375,6.8375,5.9025,6.988125,7.790625,24.5
1395,5.995,6.676875,6.89375,5.635,6.95125,7.648125,24.8
1396,6.055625,6.62125,6.85,5.56375,6.8175,7.491875,24.95
1398,6.020625,6.50375,6.581875,5.585625,6.638125,7.27,25.26
1399,5.95625,6.399375,6.74625,5.49,6.67375,7.134375,25.26
1400,6.049375,6.246875,6.668125,5.348125,6.815625,7.071875,25.46
1402,5.931875,6.045,6.43,5.23625,6.6,6.956875,25.87
1403,5.774375,5.93625,6.50125,5.145,6.5575,7.085625,25.87
1404,5.774375,5.91875,6.4875,4.9625,6.4425,7.214375,25.87
1406,5.668125,5.675,6.579375,4.84625,6.14875,7.0825,26.06
1407,5.523125,5.63375,6.420625,4.839375,6.09375,7.089375,26.18
1408,5.43625,5.623125,6.420625,4.65,6.09375,6.97625,26.18
1409,5.371875,5.57875,6.465,4.803125,6.140625,6.840625,26.18
1411,5.311875,5.78375,6.228125,4.86,5.85375,6.5625,26.26
1412,5.2475,5.646875,6.126875,4.796875,5.818125,6.56375,26.35
1413,5.280625,5.708125,6.028125,4.651875,5.7825,6.54875,26.58
1415,5.23,5.53625,5.86125,4.461875,5.71125,6.399375,26.95
1416,5.116875,5.52125,5.87625,4.3825,5.64125,6.461875,27.1
1417,5.12375,5.3775,5.98,4.32625,5.5375,6.455,27.21
1419,5.00625,5.40125,5.83375,4.160625,5.22625,6.371875,27.47
1420,4.923125,5.40125,5.78875,4.160625,5.109375,6.216875,27.47
1421,4.8725,5.335,5.655,3.9975,5.0725,6.0675,27.63
1423,4.71375,5.13875,5.45375,3.8925,4.91875,5.8825,27.83
1424,4.661875,4.990625,5.314375,3.8325,4.77875,5.821875,28.04
1425,4.80125,5.0275,5.22125,3.7325,4.595625,5.821875,28.27
1426,4.89,4.931875,5.22125,3.7475,4.440625,5.96875,28.27
1428,4.894375,4.68625,5.28625,3.53125,4.368125,5.83375,28.43
1429,4.9975,4.539375,5.2275,3.49625,4.203125,5.73625,28.62
1430,5.11,4.385625,5.051875,3.595,4.23375,5.62375,28.75
1432,4.78125,4.303125,4.821875,3.341875,4.2925,5.459375,28.97
1433,4.9375,4.179375,4.789375,3.41,4.35875,5.325,28.97
1434,4.76875,4.00875,4.899375,3.3375,4.291875,5.29375,29.02
1436,4.6225,3.905625,4.8625,3.056875,4.065625,5.286875,29.19
1437,4.55125,3.776875,4.868125,3.135,4.09,5.37875,29.19
1438,4.388125,3.648125,4.796875,3.1125,4.053125,5.20125,29.34
1440,4.123125,3.376875,4.7025,3.148125,3.85125,4.998125,29.38
1441,4.051875,3.33,4.5925,2.995,3.96125,4.869375,29.52
1442,4.161875,3.214375,4.5475,2.910625,3.85,4.715625,29.66
1444,3.958125,3.344375,4.506875,2.8775,3.64125,4.471875,29.72
1445,3.958125,3.278125,4.56625,2.83375,3.64125,4.3225,29.72
1446,3.96375,3.338125,4.6325,2.66375,3.503125,4.29875,29.77
1448,3.873125,3.350625,4.696875,2.57375,3.25875,4.046875,29.88
1449,3.865,3.440625,4.806875,2.523125,3.16,4.004375,29.88
1450,3.71875,3.386875,4.734375,2.479375,3.00375,3.876875,29.89
1452,3.535,3.40375,4.661875,2.403125,2.930625,4.065625,29.89
1453,3.481875,3.275,4.68875,2.331875,2.8925,3.93,29.93
1454,3.35375,3.275,4.52,2.331875,2.820625,3.89875,29.93
1456,3.49875,3.44375,4.713125,2.214375,2.708125,3.621875,29.93
1457,3.56625,3.57625,4.67125,2.10875,2.81375,3.66375,29.81
1458,3.56625,3.57625,4.631875,2.069375,2.653125,3.503125,29.81
1460,3.53125,3.61125,4.571875,2.034375,2.488125,3.363125,29.86
1462,3.5,3.640625,4.336875,2.068125,2.654375,3.6,29.68
1463,3.44,3.640625,4.336875,2.179375,2.50625,3.496875,29.68
1464,3.289375,3.59125,4.396875,2.034375,2.59125,3.496875,29.68
1466,3.1275,3.59125,4.530625,2.13125,2.619375,3.8,29.68
1467,2.988125,3.59125,4.530625,2.13125,2.55875,3.8,29.68
1468,2.988125,3.59125,4.530625,2.065625,2.55875,3.665625,29.68
1470,2.95,3.45125,4.773125,2.005625,2.55875,3.66125,29.68
1471,2.95,3.511875,4.9125,2.13375,2.55875,3.733125,29.68
1472,2.81625,3.511875,4.9825,2.13375,2.6225,3.733125,29.68
1474,2.81625,3.511875,4.925,2.13375,2.6225,3.590625,29.68
1475,2.81625,3.511875,4.925,2.20625,2.75,3.590625,29.68
1476,2.81625,3.511875,5.00875,2.20625,2.66625,3.590625,29.68
1477,2.86,3.4175,5.103125,2.20625,2.66625,3.746875,29.68
1479,3.010625,3.23,4.9975,2.15,2.66625,3.945625,29.68
1480,3.168125,3.23,4.9975,2.084375,2.531875,3.988125,29.68
1482,3.253125,3.14125,4.946875,2.260625,2.525,4.273125,29.63
1483,3.2025,3.225625,4.946875,2.37625,2.375625,4.273125,29.63
1484,3.146875,3.225625,5.025,2.37625,2.43125,4.395,29.63
1486,3.29625,3.225625,4.985625,2.37625,2.32125,4.395,29.63
1487,3.29625,3.225625,4.985625,2.37625,2.32125,4.395,29.63
1488,3.36125,3.160625,4.985625,2.51,2.32125,4.46125,29.63
1490,3.32625,3.196875,4.793125,2.4975,2.31375,4.4725,29.65
1491,3.39625,3.196875,4.7425,2.4975,2.31375,4.453125,29.65
1492,3.445625,3.196875,4.7425,2.4975,2.31375,4.60375,29.65
1493,3.445625,3.196875,4.7425,2.555,2.45625,4.60375,29.65
1495,3.388125,3.196875,4.57125,2.606875,2.4275,4.609375,29.65
1496,3.26125,3.233125,4.57125,2.6975,2.4275,4.609375,29.65
1497,3.26125,3.233125,4.57125,2.6975,2.4275,4.609375,29.65
1499,3.54625,3.148125,4.5225,2.52625,2.391875,4.665,29.65
1500,3.405625,3.148125,4.661875,2.509375,2.269375,4.605625,29.65
1501,3.405625,3.148125,4.76625,2.509375,2.3075,4.463125,29.65
